ownerUsername,caption,hashtags,likesCount,commentsCount,timestamp
aman_tokyo,"The setting sun gilds the city’s skyline, and tranquility reigns at the Aman Tokyo Lounge as light and shadow find their balance. 

アマン東京のラウンジには、壁一面の窓から夕陽が差し込み、静寂な空間をやさしく包み込みます。都会の喧騒を忘れさせてくれる、穏やかで静謐なひとときをお過ごしください。

#AmanTokyo #アマン東京",AmanTokyo アマン東京,765,3,2025-10-30T10:00:13.000Z
aman_tokyo,"Balance at new heights. Embrace the day at Aman Tokyo with yoga or Pilates as dawn paints across the city. 

アマン東京では、ご滞在中にお楽しみいただける、専門のインストラクターによるヨガやピラティスなどの無料のアクティビティをご用意しております。心と体をリフレッシュして一日を始めてみませんか。

#AmanTokyo #アマン東京",AmanTokyo アマン東京,733,4,2025-10-21T14:07:41.000Z
aman_tokyo,"Heights that inspire, both built and formed, as views from Aman Tokyo soar across the city skyline towards majestic Mount Fuji beyond. 

Captured by @renee_kemps",,1178,8,2025-11-16T22:10:08.000Z
aman_tokyo,"The Aman Tokyo Mont Blanc—a loving tribute to the rich chestnuts of Kumamoto Prefecture, enhanced by brown sugar meringue and cane sugar cream. 

ラ・パティスリー by アマン東京の「アマン東京 モンブラン」は、熊本県産の和栗を使用しています。ペーストと渋皮煮でその豊かな風味を引き立て、黒糖入りのメレンゲときび砂糖を使ったクリームが、控えめな甘さと奥深い味わいを生み出しています。

#AmanTokyo #LaPâtisseriebyAmanTokyo #MontBlanc #アマン東京 #ラパティスリーbyアマン東京 #モンブラン

Captured by @renee_kemps",AmanTokyo LaPâtisseriebyAmanTokyo MontBlanc アマン東京 ラパティスリーbyアマン東京 モンブラン,1141,3,2025-10-02T09:33:10.000Z
aman_tokyo,"Be enchanted by the heartwarming flavours of the festive season at La Pâtisserie by Aman Tokyo. Two Christmas cakes, the Noel Blanc and Noel Noir, are inspired by winter forests and falling snow, while our classic stollen showcases delicious dried prunes from Nagano Prefecture. 

ラ・パティスリー by アマン東京より、冬空に舞う雪や冬木立の森をイメージした2種類のクリスマスケーキ「ノエル ブラン」と「ノエル ノワール」、そして長野県のドライプルーンをたっぷりと混ぜ込んだクリスマス定番の焼き菓子「シュトレン」をご用意いたしました。
特別なひとときを彩るケーキとともに、心温まるホリデーシーズンをお過ごしください。現在、ウェブサイトにてご予約を承っております。

#AmanTokyo #LaPâtisseriebyAmanTokyo #ChristmasCake #アマン東京 #ラパティスリーbyアマン東京 #クリスマスケーキ",AmanTokyo LaPâtisseriebyAmanTokyo ChristmasCake アマン東京 ラパティスリーbyアマン東京 クリスマスケーキ,1359,4,2025-11-03T11:00:13.000Z
aman_tokyo,"Timeless wisdom shapes tailored escapism in the heights of the city. Find customised wellness programmes at Aman Spa, allowing body and mind to unwind like never before. 

アマン・スパでは、豊富なトリートメントメニューとコンサルティングを通して、お一人おひとりの身体の状態に合わせたオリジナルのウェルネスプログラムをご提供しております。安らぎの空間で、心が緩やかにほどけていくような寛ぎのひとときをご堪能ください。

#AmanTokyo #AmanSpa #アマン東京 #スパ

Captured by @renee_kemps",AmanTokyo AmanSpa アマン東京 スパ,930,7,2025-11-07T02:50:08.000Z
aman_tokyo,"Dusk falls, and the sky shifts with each passing moment. Rise above the bustle of the city and raise a glass to the ever-changing view at The Lounge by Aman. 

夕暮れ時、刻一刻と表情を変える空。都会の喧騒を忘れ、ザ・ラウンジ by アマンの窓の外に広がる、心が洗われるような美しい景色を眺めながら、洗練されたオリジナルカクテルやお食事をお楽しみください。

#AmanTokyo #TheLoungebyAman #アマン東京 #ザラウンジbyアマン",AmanTokyo TheLoungebyAman アマン東京 ザラウンジbyアマン,746,2,2025-10-14T11:00:17.000Z
thepeninsulatokyo,"ザ・ペニンシュラ東京で過ごすフェスティブシーズン✨🎄

最上階24階「Peter」での洗練されたモダンフレンチの特別コースや、異国情緒漂う「ヘイフンテラス」での広東料理を、そして「ザ・ロビー」では華やかなディナーなど多彩なダイニング体験が、聖なる夜を優雅に彩ります。

This festive season, each table tells a story at The Peninsula Tokyo.✨🎄

From festive modern French dining with skyline views at our rooftop restaurant Peter, to the refined Cantonese dining at Hei Fung Terrace, and the warm glow of live music and festive décor in The Lobby, every setting invites you to celebrate in your own way.",ペニンシュラ東京 ラグジュアリー ホテル ダイニング モダンフレンチ クリスマス thepeninsulatokyo finedining modernfrench Festive2025,529,4,2025-12-19T11:26:32.000Z
thepeninsulatokyo,"色づく秋の景色に包まれる東京🍂 

ザ・ペニンシュラ東京で出会う、やわらかなもてなしと旬の味わいが、穏やかな時間を紡ぎます。季節の移ろいを感じながら、ゆったりとしたご滞在をご堪能ください。

As Tokyo’s colours turn warm, the city feels different in the best way. 

At The Peninsula Tokyo, we hope your stay captures that feeling through seamless moments and seasonal comforts at every turn.",ペニンシュラ東京 ラグジュアリー 東京観光 秋 thepeninsulatokyo autumnl touristspot tokyo,235,2,2025-11-30T02:14:33.000Z
thepeninsulatokyo,"今年の大晦日は、1階「ザ・ロビー」のニューイヤーズイブ ディナーで、心華やぐひとときを過ごしませんか。
 
ジャズの生演奏に包まれながら、北海道産帆立やオシェトラキャビア、ブルーロブスター、A5飛騨牛など、厳選食材を贅沢に仕上げた特別コースをお楽しみいただけます。
ディナーのあとは、実力派シンガー RAIN と The Midnight Gravity Band が奏でる迫力のライブとともに迎えるホテル最上階での「Peter カウントダウン」へ。
 
一年を締めくくる夜を、より特別に。

※ご予約・お問い合わせは、03-6270-2888 までお電話にて承ります。
 
A night to remember, a year to celebrate.
 
This New Year’s Eve, The Lobby invites you to bid farewell to 2025 and ring in the new year with a six-course dinner accompanied by live jazz, featuring the finest Japanese ingredients, from Hokkaido scallops to A5 Hida Sirloin.
 
As midnight approaches, continue the celebration at Peter with breathtaking views and a sparkling countdown✨",thepeninsulatokyo luxuryhotel NewYearsEve PenMoments TheLobby ザペニンシュラ東京 ペニンシュラ東京 ニューイヤーズイブ,370,3,2025-12-05T13:44:20.000Z
thepeninsulatokyo,"お正月の食卓に、心まで華やぐ特別なおせちを。

ザ・ペニンシュラ東京のおせちは、伝統の味わいにホテルシェフたちの感性を重ね、ひと枡ごとに丁寧に仕上げました。新しい一年の始まりを、豊かに彩る時間に。

ご予約受付：2025年12月25日（木）まで

Start the year with tradition and taste.

The Peninsula Tokyo’s Osechi boxes offer a journey of seasonal flavors, thoughtfully crafted to bring joy, harmony, and prosperity to your New Year table.

Reserve yours by December 25, 2025, through the link in our bio.",thepeninsulatokyo newyearseve osechi japanesetradition ザペニンシュラ東京 ペニンシュラ東京 おせち料理 おせち 年越し,528,4,2025-12-11T09:46:15.000Z
thepeninsulatokyo,"クリスマスの気配がすぐそこまで近づく、心ときめく週末。　

きらめく仲通りに広がるクリスマスマーケットで、温かなフェスティブムードをお楽しみください✨

With Christmas around the corner, follow a trail of festive light to The Peninsula Tokyo’s Christmas Market, where joyful discoveries await✨",thepeninsulatokyo luxuryhotel Christmas ChristmasMarket PenMoments ザペニンシュラ東京 ペニンシュラ東京 クリスマス クリスマスマーケット,848,7,2025-12-20T07:27:14.000Z
thepeninsulatokyo,"ほっとする心地よさと上質なラグジュアリーに包まれる、ザ・ペニンシュラ東京での朝。

Welcoming the day at The Peninsula Tokyo where every morning feels unhurried, comforting, and beautifully refined.",ペニンシュラ東京 ラグジュアリー ホテル ペニンシュラ リラックス ホテルステイ ホテル朝食 thepeninsulatokyo luxuryhotel hotelstay hotelbreakfast,308,4,2025-12-05T23:19:11.000Z
thepeninsulatokyo,"この季節だけの華やぎに満ちたフェスティブダイニングを「ヘイフンテラス」で✨

12月20日（土）－25日（木）の期間限定で、旬の国産食材を駆使したフェスティブ限定ランチ&ディナーコースをご用意しております。

今年はさらに、ヘイフンテラスをご利用のお客様限定でフェスティブケーキが初登場。点心の蒸籠を思わせる遊び心あるケーキは、杏仁クリームやストロベリーコンポート、龍井茶のババロアが重なり、この時期だけのダイニング体験をご用意いたします。

詳細やご予約は、プロフィールのリンクより承ります。

Celebrate the festive season at Hei Fung Terrace, where Cantonese flavors take on a refined holiday touch.

Enjoy a thoughtfully crafted dinner course featuring abalone, spiny lobster, and Wagyu beef. Whether in a quiet private room or at the Chinese Chef’s Table, enjoy a celebration that feels intimate and truly special.",ペニンシュラ東京 ラグジュアリー ホテル ダイニング ヘイフンテラス クリスマス thepeninsulatokyo Heifungterrace finedining Festive2025,398,4,2025-12-16T11:07:18.000Z
thepeninsulatokyo,"仲通りのイルミネーションが夜空にきらめく季節、12月28日（日）までの期間、毎日クリスマスマーケットを開催しております。

クリスマスならではのお菓子やギフト、温かいホットチョコレート、今年は愛犬のためのかわいいアイテムも並び、歩くだけでもワクワクする、この季節ならではのひとときをお楽しみください。✨🎄

Step into the magic of Marunouchi ✨

Our Christmas Market is here with festive treats, cozy hot chocolate, and gifts for everyone — even your four-legged friends. Come and discover the holiday spirit, everyday from now through December 28🎄",thepeninsulatokyo luxuryhotel Christmas ChristmasMarket PenMoments ザペニンシュラ東京 ペニンシュラ東京 クリスマス クリスマスマーケット,838,7,2025-12-02T11:36:15.000Z
thepeninsulatokyo,"ペニンシュラ・グリーンを纏ったセンチュリーとともに始まる、洗練された旅のプロローグ。

From the first mile, experience Tokyo the Peninsula way with seamless service and a smooth, effortless arrival.",,283,2,2025-12-07T03:00:00.000Z
aman_tokyo,"Soft light filters in through oversized windows, shifting the atmosphere as it rotates through the hours and the seasons. A moment of tranquility, gazing across the shapes of the city. 

客室の窓辺に位置するリビングスペースには、季節や時間とともに移ろうやわらかな陽光が差し込みます。都会の景色を眺めながら、静けさに包まれた非日常のひとときをお過ごしください。

#AmanTokyo #アマン東京

Captured by @hforhozzie",AmanTokyo アマン東京,964,1,2025-11-20T12:00:26.000Z
thepeninsulatokyo,"上質な時間が、ここから始まります。
 
壁一面の窓から四季折々の美しい眺望を望むスイートルームで、記憶に残るご滞在を。
 
Let the city become part of your story.
In the heart of Tokyo, our suites offer a calm retreat defined by thoughtful design, natural warmth, and inspiring views.",ペニンシュラ東京 ラグジュアリー ホテル ペニンシュラ リラックス ホテルステイ thepeninsulatokyo luxuryhotel hotelstay,330,7,2025-12-18T06:40:33.000Z
thepeninsulatokyo,"今日からクリスマスまで、サンタクロース姿のPenベアが館内にサプライズ登場✨

見つけたら、ぜひ記念の一枚を。フェスティブ気分あふれる思い出を作りに、お立ち寄りください。

日にち：12月13日、14日、20日、21日、24日、25日
時間：13:00 / 15:00 / 17:00 各回約30分

From today through Christmas, Pen Bear debuts his Santa attire for the festive season, greeting guests around the hotel and spreading holiday cheer. Don’t forget to snap a photo when you spot him📸",thepeninsulatokyo luxuryhotel festive2025 Christmas PenMoments ザペニンシュラ東京 ペニンシュラ東京 フェスティブ2025 フェスティブ クリスマス,962,4,2025-12-13T01:35:12.000Z
thepeninsulatokyo,"一人ひとりのスタッフが心を込めたおもてなしで、ザ・ペニンシュラ東京へお迎えいたします。

From welcoming you at the door to ensuring every detail runs perfectly behind the scenes, our dedicated team stands ready.",ペニンシュラ東京 ラグジュアリー ホテル ホスピタリティ thepeninsulatokyo luxuryhotel PeninsulaMoments LifeAtThePeninsula Hospitality,356,2,2025-11-12T11:22:15.000Z
aman_tokyo,"There exists a harmony between what is built and what can blossom. At Aman Tokyo, you are invited to experience Aman’s philosophy of natural equilibrium — in the rock garden and pond of the Garden Lounge, in the inspiring flower arrangements, and in art that honours the majesty of the four seasons. 

アマンにとって一番大切な自然との関わり。アマン東京では、四季を表現したアート、ガーデンラウンジの石庭や池、荘厳な生け花など、自然と寄り添うアマンの哲学を感じていただけます。

#AmanTokyo #GardenLounge #アマン東京 #ガーデンラウンジ",AmanTokyo GardenLounge アマン東京 ガーデンラウンジ,1790,5,2025-08-28T11:00:14.000Z
thepeninsulatokyo,"今年の「ザ・ペニンシュラ東京 おもちゃ病院」にも、小さな手に愛され続けてきたおもちゃ、思い出のつまった大切な宝物たちが、“おもちゃドクター”のもとへ次々とやってきています。

懐かしい思い出の品など、おもちゃドクターが、一つずつ丁寧に修理を行っています。

この季節だけの特別な体験で、どうぞ心温まるひとときを✨（3日前までの要予約）。
 
期間：2025年12月27日（土）まで
ご予約はプロフィールのリンクより承ります。

Holiday smiles start here. 🎄

The Peninsula Tokyo’s beloved ""Toy Hospital"" is back, offering a heartwarming space where children’s beloved toys are lovingly restored by expert Toy Doctors.",ペニンシュラ東京 ラグジュアリー ホテル おもちゃ病院 フェスティブ チャリティ活動 ファミリーイベント クリスマスマジック thepeninsulatokyo luxuryhotel toyhospital holidaymagic festiveseason familymemories holidaytradition holidayfun,512,6,2025-11-18T11:42:16.000Z
stregishotels,"As the year draws to a close, we pause to honor moments cherished and memories made. Join us at St. Regis as we toast to the elegance of tradition and the promise of the year ahead.",,271,8,2025-12-31T15:00:02.000Z
stregishotels,"Discover the art that shapes each property's identity, celebrating local culture, craftsmanship, and the creativity that defines each destination.",,142,8,2026-01-07T16:30:00.000Z
